Accession	20180307_11_Tissue_untreated_1	20180307_12_Tissue_untreated_2	20180307_13_Control_untreated_1	20180307_14_Tissue_untreated_3	20180307_15_Control_treated_1	20180307_16_Tissue_untreated_4	20180307_17_Control_untreated_2	20180307_18_Tissue_untreated_5	20180307_19_Control_treated_2	20180307_20_Tissue_untreated_6	20180307_21_Control_untreated_3	20180307_22_Tissue_untreated_7	20180307_23_Tissue_untreated_8	20180307_24_Tissue_untreated_9	20180307_25_Control_untreated_4	20180307_26_Control_treated_3	20180307_27_Control_treated_4
Protein_1	24729.74606	22274.35571	14994.82298	16736.23746	17574.26345	16853.56953	17807.3369	22054.25078	13364.80209	21516.7384	23177.87296	16433.78396	26782.18637	18321.62851	16384.65747	16855.93358	16742.16629
Protein_2	5443.878134	5483.442388	2898.140465	5880.578084	1986.380849	4789.572862	2125.725762	4980.127094	1399.652483	4344.306055	1170.397997	5587.158684	9323.750805	9467.076807	2478.398986	2916.51062	2101.455494
Protein_3	14062.67586	13497.5286	11079.9773	15424.98731	7791.458861	17081.69116	13448.1636	26768.09815	10520.33269	22043.94264	9826.825561	21260.49201	21959.62016	19875.61561	16039.74428	12414.16794	13558.5158
Protein_4	123470.1423	124713.8208	79933.18799	113385.457	79641.51238	133285.5991	94339.36886	147122.1377	77720.46157	144849.9066	85044.03289	148686.5416	154412.6782	134255.074	90803.05789	88847.84015	95930.20226
Protein_5	9712.534748	6425.622204	6959.626593	9238.211057	3185.516576	15302.26053	7539.808949	7214.714449	6477.536361	8291.737289	4065.242956	9902.516476	5749.228439	12656.20656	6115.59146	4004.009636	5628.110599
Protein_6	381603.8654	401904.6765	426646.7303	418544.5079	498530.4711	340524.1102	569657.6397	383538.2752	499400.5332	346708.1958	516555.6188	358177.897	325355.4735	343323.1944	420151.9505	448992.9069	480706.4449
Protein_7	17125.73818	21586.44007	25687.92223	21308.44683	14751.23805	22806.34037	23693.78702	26339.73232	16067.70959	28755.34212	24801.64225	29762.89975	33533.69701	34557.98382	30361.10574	25679.20121	29318.30622
Protein_8	85972.9114	90466.07444	103016.8754	82677.92788	104286.5916	106503.6942	103284.8741	96478.05217	100262.5274	91607.18699	98990.59059	87103.81535	92207.92841	90723.89772	101945.6844	103719.5783	121279.2495
Protein_9	3979.612822	7687.437165	15181.4281	11137.29285	12888.45666	11514.37457	17162.45641	13912.82937	14011.65665	12266.54028	12915.55632	12616.66604	15743.76237	15339.23126	12653.93586	15016.10174	15261.82901
Protein_10	15728.64244	6685.351463	759.0838197	7384.906342	705.2483087	7781.324338	2116.361302	6322.843219	1716.554932	4827.614628	737.8596068	6022.172135	10554.93014	6343.566987	476.5154686	2242.413089	929.4840183
