Majority protein IDs	Intensity m20150511_04_FGCZpaolo_MSQC1_60min	Intensity m20150518_03_FGCZpaolo_MSQC1_60min	Intensity m20150528_03_FGCZpaolo_MSQC1_60min	Intensity m20150528_04_FGCZpaolo_MSQC1_60min	Intensity m20150601_03_FGCZpaolo_MSQC1_60min_CORRECT	Intensity m20150609_04_FGCZpaolo_MSQC1_60min	Intensity m20150617_03_FGCZpaolo_MSQC1_60min
zz|ZZ_FGCZCont0179|;sp|P00761|TRYP_PIG;CON__P00761	116400	0	374750	441300	140390	235550	205090
zz|ZZ_FGCZCont0255|;sp|P12763|FETUA_BOVIN;CON__P12763;sp|P29701|FETUA_SHEEP	0	0	999670	458750	41282	175060	0
REV__sp|A1B9Q7|UGPC_PARDP	0	0	0	0	0	0	0
REV__sp|Q8XEM5|YCAR_SALTI;REV__sp|Q7CQT7|YCAR_SALTY;REV__sp|Q5PGF4|YCAR_SALPA;REV__sp|Q57R11|YCAR_SALCH;REV__sp|Q3Z3K4|YCAR_SHISS;REV__sp|Q32E37|YCAR_SHIDS;REV__sp|Q31YT3|YCAR_SHIBS;REV__sp|Q1RDU1|YCAR_ECOUT;REV__sp|Q0TJD6|YCAR_ECOL5;REV__sp|Q0SWZ8|YCAR_SHIF8;REV__sp|P0AB00|YCAR_SHIFL;REV__sp|P0AAZ9|YCAR_ECO57;REV__sp|P0AAZ8|YCAR_ECOL6;REV__sp|P0AAZ7|YCAR_ECOLI;REV__sp|C4ZQ43|YCAR_ECOBW;REV__sp|C0PXV4|YCAR_SALPC;REV__sp|B7UN03|YCAR_ECO27;REV__sp|B7NM57|YCAR_ECO7I;REV__sp|B7NAR6|YCAR_ECOLU;REV__sp|B7MS35|YCAR_ECO81;REV__sp|B7MHM6|YCAR_ECO45;REV__sp|B7M846|YCAR_ECO8A;REV__sp|B7LE15|YCAR_ECO55;REV__sp|B6I8Y9|YCAR_ECOSE;REV__sp|B5YT51|YCAR_ECO5E;REV__sp|B5R8K4|YCAR_SALG2;REV__sp|B5QZC1|YCAR_SALEP;REV__sp|B5FQ60|YCAR_SALDC;REV__sp|B5F170|YCAR_SALA4;REV__sp|B5BBP1|YCAR_SALPK;REV__sp|B4TRU9|YCAR_SALSV;REV__sp|B4TDQ4|YCAR_SALHS;REV__sp|B4T151|YCAR_SALNS;REV__sp|B2TUG2|YCAR_SHIB3;REV__sp|B1X8M1|YCAR_ECODH;REV__sp|B1LJU6|YCAR_ECOSM;REV__sp|B1IW14|YCAR_ECOLC;REV__sp|A9N7U5|YCAR_SALPB;REV__sp|A9MHW6|YCAR_SALAR;REV__sp|A8AIG4|Y2153_CITK8;REV__sp|A7ZYL9|YCAR_ECOHS;REV__sp|A7ZK06|YCAR_ECO24;REV__sp|A4W8T6|Y1436_ENT38	79884	0	695280	197000	0	0	134920
REV__sp|Q6GH63|Y1353_STAAR;REV__sp|Q6G9L5|Y1283_STAAS;REV__sp|Q5HG76|Y1378_STAAC;REV__sp|Q4L652|Y1564_STAHJ;REV__sp|Q2YXS4|Y1201_STAAB;REV__sp|P67292|Y1230_STAAW;REV__sp|P67291|Y1178_STAAN;REV__sp|P67290|Y1343_STAAM;REV__sp|A7X1Z8|Y1332_STAA1;REV__sp|A6U1G3|Y1431_STAA2	0	0	0	0	0	0	0
REV__sp|A7GGL4|VATA_CLOBL;REV__sp|B1KXT6|VATA_CLOBM;REV__sp|B1IJM8|VATA_CLOBK	0	0	0	0	0	0	0
REV__sp|A7MGD1|HSLO_CROS8	1196700	0	2757400	2787900	527920	24172000	3502000
REV__sp|A7TJM9|DRS1_VANPO	0	0	0	0	0	0	0
REV__sp|Q8NXZ0|SYK_STAAW;REV__sp|Q6GJF4|SYK_STAAR;REV__sp|Q6GBX1|SYK_STAAS;REV__sp|Q5HIF7|SYK_STAAC;REV__sp|Q53638|SYK_STAAU;REV__sp|Q2YVW8|SYK_STAAB;REV__sp|Q2G0Q3|SYK_STAA8;REV__sp|Q2FJC3|SYK_STAA3;REV__sp|P67610|SYK_STAAN;REV__sp|P67609|SYK_STAAM;REV__sp|A7WYS8|SYK_STAA1	193110	0	0	774230	167080	466150	673350
REV__sp|A8E5Y3|GDPP1_XENLA	0	0	0	0	0	0	0
