Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 20171207_03_S67302_pfih-v5_w_sds_2_e1	Peptides 20171207_04_S67303_pfih-v5_w_sds_3_e1	Peptides 20171207_05_S67290_pegfp_wo_sds_2_e1	Peptides 20171207_07_S67293_pegfp_w_sds_1_e1	Peptides 20171207_08_S67292_pegfp_wo_sds_4_e1	Peptides 20171207_09_S67298_pfih-v5_wo_sds_2_e1	Peptides 20171207_11_S67296_pegfp_w_sds_4_e1	Peptides 20171207_12_S67304_pfih-v5_w_sds_4_e1	Peptides 20171207_13_S67291_pegfp_wo_sds_3_e1	Peptides 20171207_15_S67295_pegfp_w_sds_3_e1_rep	Peptides 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	Peptides 20171207_17_S67300_pfih-v5_wo_sds_4_e1	Peptides 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	Peptides 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	Peptides 20171207_21_S67299_pfih-v5_wo_sds_3_e1	Peptides 20171207_23_S67294_pegfp_w_sds_2_e1	Razor + unique peptides 20171207_03_S67302_pfih-v5_w_sds_2_e1	Razor + unique peptides 20171207_04_S67303_pfih-v5_w_sds_3_e1	Razor + unique peptides 20171207_05_S67290_pegfp_wo_sds_2_e1	Razor + unique peptides 20171207_07_S67293_pegfp_w_sds_1_e1	Razor + unique peptides 20171207_08_S67292_pegfp_wo_sds_4_e1	Razor + unique peptides 20171207_09_S67298_pfih-v5_wo_sds_2_e1	Razor + unique peptides 20171207_11_S67296_pegfp_w_sds_4_e1	Razor + unique peptides 20171207_12_S67304_pfih-v5_w_sds_4_e1	Razor + unique peptides 20171207_13_S67291_pegfp_wo_sds_3_e1	Razor + unique peptides 20171207_15_S67295_pegfp_w_sds_3_e1_rep	Razor + unique peptides 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	Razor + unique peptides 20171207_17_S67300_pfih-v5_wo_sds_4_e1	Razor + unique peptides 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	Razor + unique peptides 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	Razor + unique peptides 20171207_21_S67299_pfih-v5_wo_sds_3_e1	Razor + unique peptides 20171207_23_S67294_pegfp_w_sds_2_e1	Unique peptides 20171207_03_S67302_pfih-v5_w_sds_2_e1	Unique peptides 20171207_04_S67303_pfih-v5_w_sds_3_e1	Unique peptides 20171207_05_S67290_pegfp_wo_sds_2_e1	Unique peptides 20171207_07_S67293_pegfp_w_sds_1_e1	Unique peptides 20171207_08_S67292_pegfp_wo_sds_4_e1	Unique peptides 20171207_09_S67298_pfih-v5_wo_sds_2_e1	Unique peptides 20171207_11_S67296_pegfp_w_sds_4_e1	Unique peptides 20171207_12_S67304_pfih-v5_w_sds_4_e1	Unique peptides 20171207_13_S67291_pegfp_wo_sds_3_e1	Unique peptides 20171207_15_S67295_pegfp_w_sds_3_e1_rep	Unique peptides 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	Unique peptides 20171207_17_S67300_pfih-v5_wo_sds_4_e1	Unique peptides 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	Unique peptides 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	Unique peptides 20171207_21_S67299_pfih-v5_wo_sds_3_e1	Unique peptides 20171207_23_S67294_pegfp_w_sds_2_e1	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 11	Fraction 21	Fraction 31	Experiment 20171207_03_S67302_pfih-v5_w_sds_2_e1	Experiment 20171207_04_S67303_pfih-v5_w_sds_3_e1	Experiment 20171207_05_S67290_pegfp_wo_sds_2_e1	Experiment 20171207_07_S67293_pegfp_w_sds_1_e1	Experiment 20171207_08_S67292_pegfp_wo_sds_4_e1	Experiment 20171207_09_S67298_pfih-v5_wo_sds_2_e1	Experiment 20171207_11_S67296_pegfp_w_sds_4_e1	Experiment 20171207_12_S67304_pfih-v5_w_sds_4_e1	Experiment 20171207_13_S67291_pegfp_wo_sds_3_e1	Experiment 20171207_15_S67295_pegfp_w_sds_3_e1_rep	Experiment 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	Experiment 20171207_17_S67300_pfih-v5_wo_sds_4_e1	Experiment 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	Experiment 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	Experiment 20171207_21_S67299_pfih-v5_wo_sds_3_e1	Experiment 20171207_23_S67294_pegfp_w_sds_2_e1	PEP	Sequence coverage 20171207_03_S67302_pfih-v5_w_sds_2_e1 [%]	Sequence coverage 20171207_04_S67303_pfih-v5_w_sds_3_e1 [%]	Sequence coverage 20171207_05_S67290_pegfp_wo_sds_2_e1 [%]	Sequence coverage 20171207_07_S67293_pegfp_w_sds_1_e1 [%]	Sequence coverage 20171207_08_S67292_pegfp_wo_sds_4_e1 [%]	Sequence coverage 20171207_09_S67298_pfih-v5_wo_sds_2_e1 [%]	Sequence coverage 20171207_11_S67296_pegfp_w_sds_4_e1 [%]	Sequence coverage 20171207_12_S67304_pfih-v5_w_sds_4_e1 [%]	Sequence coverage 20171207_13_S67291_pegfp_wo_sds_3_e1 [%]	Sequence coverage 20171207_15_S67295_pegfp_w_sds_3_e1_rep [%]	Sequence coverage 20171207_16_S67289_pegfp_wo_sds_1_e1_rep [%]	Sequence coverage 20171207_17_S67300_pfih-v5_wo_sds_4_e1 [%]	Sequence coverage 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep [%]	Sequence coverage 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep [%]	Sequence coverage 20171207_21_S67299_pfih-v5_wo_sds_3_e1 [%]	Sequence coverage 20171207_23_S67294_pegfp_w_sds_2_e1 [%]	Intensity	Intensity 20171207_03_S67302_pfih-v5_w_sds_2_e1	Intensity 20171207_04_S67303_pfih-v5_w_sds_3_e1	Intensity 20171207_05_S67290_pegfp_wo_sds_2_e1	Intensity 20171207_07_S67293_pegfp_w_sds_1_e1	Intensity 20171207_08_S67292_pegfp_wo_sds_4_e1	Intensity 20171207_09_S67298_pfih-v5_wo_sds_2_e1	Intensity 20171207_11_S67296_pegfp_w_sds_4_e1	Intensity 20171207_12_S67304_pfih-v5_w_sds_4_e1	Intensity 20171207_13_S67291_pegfp_wo_sds_3_e1	Intensity 20171207_15_S67295_pegfp_w_sds_3_e1_rep	Intensity 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	Intensity 20171207_17_S67300_pfih-v5_wo_sds_4_e1	Intensity 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	Intensity 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	Intensity 20171207_21_S67299_pfih-v5_wo_sds_3_e1	Intensity 20171207_23_S67294_pegfp_w_sds_2_e1	LFQ intensity 20171207_03_S67302_pfih-v5_w_sds_2_e1	LFQ intensity 20171207_04_S67303_pfih-v5_w_sds_3_e1	LFQ intensity 20171207_05_S67290_pegfp_wo_sds_2_e1	LFQ intensity 20171207_07_S67293_pegfp_w_sds_1_e1	LFQ intensity 20171207_08_S67292_pegfp_wo_sds_4_e1	LFQ intensity 20171207_09_S67298_pfih-v5_wo_sds_2_e1	LFQ intensity 20171207_11_S67296_pegfp_w_sds_4_e1	LFQ intensity 20171207_12_S67304_pfih-v5_w_sds_4_e1	LFQ intensity 20171207_13_S67291_pegfp_wo_sds_3_e1	LFQ intensity 20171207_15_S67295_pegfp_w_sds_3_e1_rep	LFQ intensity 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	LFQ intensity 20171207_17_S67300_pfih-v5_wo_sds_4_e1	LFQ intensity 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	LFQ intensity 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	LFQ intensity 20171207_21_S67299_pfih-v5_wo_sds_3_e1	LFQ intensity 20171207_23_S67294_pegfp_w_sds_2_e1	MS/MS Count 20171207_03_S67302_pfih-v5_w_sds_2_e1	MS/MS Count 20171207_04_S67303_pfih-v5_w_sds_3_e1	MS/MS Count 20171207_05_S67290_pegfp_wo_sds_2_e1	MS/MS Count 20171207_07_S67293_pegfp_w_sds_1_e1	MS/MS Count 20171207_08_S67292_pegfp_wo_sds_4_e1	MS/MS Count 20171207_09_S67298_pfih-v5_wo_sds_2_e1	MS/MS Count 20171207_11_S67296_pegfp_w_sds_4_e1	MS/MS Count 20171207_12_S67304_pfih-v5_w_sds_4_e1	MS/MS Count 20171207_13_S67291_pegfp_wo_sds_3_e1	MS/MS Count 20171207_15_S67295_pegfp_w_sds_3_e1_rep	MS/MS Count 20171207_16_S67289_pegfp_wo_sds_1_e1_rep	MS/MS Count 20171207_17_S67300_pfih-v5_wo_sds_4_e1	MS/MS Count 20171207_19_S67301_pfih-v5_wo_sds_1_e1_rep	MS/MS Count 20171207_20_S67297_pfih-v5_w_sds_1_e1_rep	MS/MS Count 20171207_21_S67299_pfih-v5_wo_sds_3_e1	MS/MS Count 20171207_23_S67294_pegfp_w_sds_2_e1	Only identified by site	Reverse	Contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
>sp|P0CG06|LAC3_HUMAN Ig lambda-3 chain C regions OS=Homo sapiens GN=IGLC3 PE=1 SV=1;>sp|P0CG05|LAC2_HUMAN Ig lambda-2 chain C regions OS=Homo sapiens GN=IGLC2 PE=1 SV=1;>sp|P0CG04|LAC1_HUMAN Ig lambda-1 chain C regions OS=Homo sapiens GN=IGLC1 PE=1 SV=1;>sp|P0CF74|LAC6_HUMAN Ig lambda-6 chain C region OS=Homo sapiens GN=IGLC6 PE=4 SV=1;>sp|A0M8Q6|LAC7_HUMAN Ig lambda-7 chain C region OS=Homo sapiens GN=IGLC7 PE=4 SV=2;>sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	>sp|P0CG06|LAC3_HUMAN Ig lambda-3 chain C regions OS=Homo sapiens GN=IGLC3 PE=1 SV=1;>sp|P0CG05|LAC2_HUMAN Ig lambda-2 chain C regions OS=Homo sapiens GN=IGLC2 PE=1 SV=1;>sp|P0CG04|LAC1_HUMAN Ig lambda-1 chain C regions OS=Homo sapiens GN=IGLC1 PE=1 SV=1;>sp|P0CF74|LAC6_HUMAN Ig lambda-6 chain C region OS=Homo sapiens GN=IGLC6 PE=4 SV=1;>sp|A0M8Q6|LAC7_HUMAN Ig lambda-7 chain C region OS=Homo sapiens GN=IGLC7 PE=4 SV=2;>sp|B9A064|IGLL5_HUMAN Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens GN=IGLL5 PE=2 SV=2	1;1;1;1;1;1	1;1;1;1;1;1	1;1;1;1;1;1	>sp|P0CG06|LAC3_HUMAN Ig lambda-3 chain C regions OS=Homo sapiens GN=IGLC3 PE=1 SV=1;>sp|P0CG05|LAC2_HUMAN Ig lambda-2 chain C regions OS=Homo sapiens GN=IGLC2 PE=1 SV=1;>sp|P0CG04|LAC1_HUMAN Ig lambda-1 chain C regions OS=Homo sapiens GN=IGLC1 PE=1 SV=1;>	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	14.2	14.2	14.2	11.237	106	106;106;106;106;106;214	16	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.1167E-28	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	14.2	357600000	15369000	25087000	25637000	20724000	21756000	23450000	28194000	26040000	29298000	0	28218000	22927000	10419000	24217000	28538000	27723000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34179000	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1				0	11058	True	11172	99618;99619;99620;99621;99622;99623;99624;99625;99626;99627;99628;99629;99630;99631;99632;99633	82458;82459;82460;82461;82462;82463;82464;82465;82466;82467;82468;82469;82470;82471;82472;82473	82466		
>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2	>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2	1	1	1	>sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens GN=NBAS PE=1 SV=2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	0.6	0.6	268.57	2371	2371	1	1				1																0.042141	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10834000	10834000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10834000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1	8553	True	8643	77238	64220	64220		
>sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1	>sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1	1	1	1	>sp|A4D0S4|LAMB4_HUMAN Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.6	0.6	0.6	193.54	1761	1761	11		1														1					0.053297	0	0	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	7208300	0	0	0	0	0	0	0	0	0	0	0	7208300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8767400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0				2	4255	True	4284	37714	30496	30496		
>sp|A4D1B5|GSAP_HUMAN Gamma-secretase-activating protein OS=Homo sapiens GN=GSAP PE=1 SV=2	>sp|A4D1B5|GSAP_HUMAN Gamma-secretase-activating protein OS=Homo sapiens GN=GSAP PE=1 SV=2	1	1	1	>sp|A4D1B5|GSAP_HUMAN Gamma-secretase-activating protein OS=Homo sapiens GN=GSAP PE=1 SV=2	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1.3	1.3	1.3	97.8	854	854	21			1								1										0.045227	0	0	0	0	0	0	1.3	0	0	0	0	0	0	0	0	0	11775000	0	0	0	0	0	0	11775000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17023000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				3	3996	True	4022	35402	28655	28655		
>sp|A5PL33|KRBA1_HUMAN Protein KRBA1 OS=Homo sapiens GN=KRBA1 PE=1 SV=3	>sp|A5PL33|KRBA1_HUMAN Protein KRBA1 OS=Homo sapiens GN=KRBA1 PE=1 SV=3	13	13	13	>sp|A5PL33|KRBA1_HUMAN Protein KRBA1 OS=Homo sapiens GN=KRBA1 PE=1 SV=3	1	13	13	13	0	0	10	0	10	8	0	0	11	0	12	6	7	0	8	0	0	0	10	0	10	8	0	0	11	0	12	6	7	0	8	0	0	0	10	0	10	8	0	0	11	0	12	6	7	0	8	0	17	17	17	107.5	1030	1030	23.6		29		49			10		10	8			13		16	6	7		8		2.3969E-174	0	0	14.6	0	14.6	12.2	0	0	14.9	0	16.1	10.2	11.1	0	12.2	0	1710600000	0	0	264960000	0	139110000	193520000	0	0	369450000	0	378340000	109210000	60286000	0	195760000	0	0	0	264340000	0	245160000	209730000	0	0	327690000	0	285620000	179010000	276680000	0	224590000	0	0	0	6	0	5	6	0	0	10	0	9	4	6	0	6	0				4	135;286;1362;1845;1982;2945;3170;3389;3738;3784;7604;7653;8444	True;True;True;True;True;True;True;True;True;True;True;True;True	138;289;1374;1859;1997;2963;3190;3411;3763;3810;7681;7730;8532	1079;1080;1081;2292;12351;12352;12353;12354;16480;16481;16482;16483;16484;16485;17576;17577;17578;17579;17580;17581;17582;17583;25813;25814;28026;28027;28028;28029;29925;29926;29927;29928;29929;29930;29931;29932;29933;29934;33128;33129;33130;33131;33132;33133;33134;33135;33617;33618;33619;33620;33621;33622;33623;33624;33625;33626;33627;68447;68448;68449;68450;68451;68452;68453;68454;69110;69111;69112;69113;69114;76329;76330;76331;76332;76333;76334;76335;76336	902;903;904;1832;10238;13581;13582;13583;13584;13585;13586;14445;14446;14447;21025;22824;24305;24306;24307;24308;24309;24310;24311;24312;24313;26860;26861;26862;26863;26864;26865;26866;27210;27211;27212;27213;27214;27215;27216;27217;27218;27219;27220;56960;56961;56962;56963;57734;57735;63560;63561;63562;63563;63564;63565;63566	904;1832;10238;13584;14447;21025;22824;24306;26863;27215;56962;57735;63562		
>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	1	1	1	>sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.5	0.5	0.5	266.94	2376	2376	1	1											1									0.014114	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				5	7312	True	7382	66037	55046	55046		
>sp|A6NCL7|AN33B_HUMAN Ankyrin repeat domain-containing protein 33B OS=Homo sapiens GN=ANKRD33B PE=3 SV=1	>sp|A6NCL7|AN33B_HUMAN Ankyrin repeat domain-containing protein 33B OS=Homo sapiens GN=ANKRD33B PE=3 SV=1	1	1	1	>sp|A6NCL7|AN33B_HUMAN Ankyrin repeat domain-containing protein 33B OS=Homo sapiens GN=ANKRD33B PE=3 SV=1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	53.974	494	494	16.7	8	4	8	8	2	2	2	2	2	1	2	2	2	2	2	1	1	2	1	2	0.017418	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2402500000	300640000	233490000	207780000	188500000	168000000	111850000	155120000	147710000	113090000	114760000	151800000	96551000	71566000	116160000	118520000	106980000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96534000	1	2	0	1	0	1	1	1	2	1	1	0	1	0	1	0				6	9298	True	9396	83598;83599;83600;83601;83602;83603;83604;83605;83606;83607;83608;83609;83610;83611;83612;83613;83614;83615;83616;83617;83618;83619;83620;83621;83622;83623;83624;83625	69216;69217;69218;69219;69220;69221;69222;69223;69224;69225;69226;69227;69228	69227		
>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3;>sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens GN=DDTL PE=2 SV=1	>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3;>sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens GN=DDTL PE=2 SV=1	1;1	1;1	1;1	>sp|P30046|DOPD_HUMAN D-dopachrome decarboxylase OS=Homo sapiens GN=DDT PE=1 SV=3;>sp|A6NHG4|DDTL_HUMAN D-dopachrome decarboxylase-like protein OS=Homo sapiens GN=DDTL PE=2 SV=1	2	1	1	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	0	1	0	0	0	1	0	1	10.2	10.2	10.2	12.712	118	118;134	12.1	4		5		1	1		1			2	1		1				1		1	6.9516E-10	10.2	10.2	0	10.2	0	0	10.2	10.2	0	10.2	0	0	0	10.2	0	10.2	98358000	8301200	6592300	0	12963000	0	0	22800000	10316000	0	12228000	0	0	0	13721000	0	11437000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14101000	0	0	0	1	0	0	1	1	0	1	0	0	0	1	0	2				7	8775	True	8869	79114;79115;79116;79117;79118;79119;79120;79121;79122	65628;65629;65630;65631;65632;65633;65634	65628		
>sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2	>sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2	2	1	1	>sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens GN=FBLL1 PE=3 SV=2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6.6	3.3	3.3	34.803	334	334	1	1											1									1.6028E-14	3.3	3.3	3.3	3.3	3.3	3.3	3.3	6.6	3.3	3.3	3.3	3.3	3.3	3.3	3.3	3.3	20051000	0	0	0	0	0	0	0	20051000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18353000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0				8	4605;9763	False;True	4636;9867	40622;40623;40624;40625;40626;40627;40628;40629;40630;40631;40632;40633;40634;40635;40636;40637;88116	32851;32852;32853;32854;32855;32856;32857;32858;32859;32860;32861;32862;32863;32864;32865;32866;72912	32858;72912		
>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	1	1	1	>sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2	1	1	1	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0.7	0.7	0.7	226.37	2005	2005	21			3					1			1			1							0.0054807	0	0	0	0.7	0	0	0.7	0	0	0.7	0	0	0	0	0	0	15400000	0	0	0	6024700	0	0	3261900	0	0	6113200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6299500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0				9	10790	True	10903	97441;97442;97443	80670	80670		
